epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6285,4.91759,3.51569,1.06945,0,0,0,0,5.46532,3.4536,0.92036,0.0002,0.0002,0.0962
2,79.7523,4.64306,2.48409,0.92948,0.06,0.03889,0.03674,0.00956,4.76121,2.9427,0.90242,0.000448515,0.000448515,0.0914485
3,124.86,4.56689,2.05532,0.86828,0.06567,0.04257,0.03957,0.00971,4.75628,2.7359,0.9147,0.00069538,0.00069538,0.0866954
4,158.986,4.31161,2.13696,0.94963,0.10867,0.07044,0.05948,0.01454,4.25245,2.5151,0.8832,0.000940595,0.000940595,0.0819406
5,195.381,4.11139,1.89198,0.91587,0.12067,0.07822,0.06714,0.01821,4.13054,2.39026,0.88981,0.00118416,0.00118416,0.0771842
6,228.494,3.84907,1.77482,0.8953,0.13933,0.09032,0.08142,0.02212,4.01677,2.27376,0.91954,0.00142608,0.00142608,0.0724261
7,261.824,4.09894,1.70828,0.90935,0.1405,0.09108,0.08015,0.02159,3.95016,2.13332,0.90844,0.00166634,0.00166634,0.0676663
8,295.136,3.97397,1.69356,0.90878,0.1405,0.09108,0.08015,0.02159,3.95016,2.13332,0.90844,0.00190495,0.00190495,0.062905
9,329.925,3.93758,1.76103,0.92423,0.09983,0.06471,0.05385,0.01444,4.02044,2.01594,0.89233,0.00214192,0.00214192,0.0581419
10,368.719,3.72665,1.58617,0.91678,0.139,0.0901,0.07786,0.02159,3.90193,1.88059,0.89384,0.00237724,0.00237724,0.0533772
11,406.86,3.9736,1.62901,0.88066,0.139,0.0901,0.07786,0.02159,3.90193,1.88059,0.89384,0.0026109,0.0026109,0.0486109
12,440.604,3.85858,1.82453,0.90543,0.14795,0.08449,0.07525,0.02078,3.93708,1.75024,0.89322,0.00284292,0.00284292,0.0438429
13,478.946,4.28472,1.78068,0.8665,0.14795,0.08449,0.07525,0.02078,3.93708,1.75024,0.89322,0.00307328,0.00307328,0.0390733
14,531.818,4.2272,1.78036,0.89542,0.14795,0.08449,0.07525,0.02078,3.93708,1.75024,0.89322,0.00330199,0.00330199,0.034302
15,573.975,4.18383,1.74572,0.85119,0.14382,0.07671,0.07095,0.01816,4.05269,1.7515,0.87574,0.00352906,0.00352906,0.0295291
16,618.295,3.98953,1.72227,0.892,0.14382,0.07671,0.07095,0.01816,4.05269,1.7515,0.87574,0.00375447,0.00375447,0.0247545
17,663.443,3.86108,1.55353,0.8395,0.14382,0.07671,0.07095,0.01816,4.05269,1.7515,0.87574,0.00397824,0.00397824,0.0199782
18,698.33,3.82659,1.50956,0.84769,0.14809,0.08546,0.07845,0.0216,4.02207,1.98055,0.89216,0.00420036,0.00420036,0.0152004
19,737.291,3.93091,1.77001,0.87243,0.14809,0.08546,0.07845,0.0216,4.02207,1.98055,0.89216,0.00442082,0.00442082,0.0104208
20,774.443,4.08134,1.6837,0.83402,0.14809,0.08546,0.07845,0.0216,4.02207,1.98055,0.89216,0.00463964,0.00463964,0.00563963
21,811.793,4.20859,1.73777,0.8506,0.12183,0.07898,0.06838,0.0193,3.95841,3.91324,0.89096,0.00467,0.00467,0.00467
22,847.532,4.32459,1.80848,0.82623,0.12183,0.07898,0.06838,0.0193,3.95841,3.91324,0.89096,0.0046535,0.0046535,0.0046535
