epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2921,5.17753,4.06012,0.89264,0.00061,0.00037,0.0003,8e-05,5.48428,3.75107,0.69626,0.0001,0.0001,0.0981
2,43.0506,4.7967,3.18253,0.70956,0.00061,0.00037,0.0003,8e-05,5.28481,3.4769,0.64842,0.00024901,0.00024901,0.095249
3,64.5125,4.52072,2.44478,0.72604,0.00667,0.00407,0.00403,0.00077,4.98906,3.2694,0.64411,0.000396832,0.000396832,0.0923968
4,82.9597,4.99414,2.41491,0.69497,0.08061,0.04922,0.04764,0.0114,4.7532,3.09844,0.64127,0.000543466,0.000543466,0.0895435
5,100.349,4.47094,2.19805,0.72322,0.09515,0.05811,0.0607,0.01388,4.7175,2.97812,0.64271,0.000688912,0.000688912,0.0866889
6,118.692,4.52124,2.03912,0.68985,0.08879,0.05422,0.0526,0.01145,4.77681,2.9072,0.63932,0.00083317,0.00083317,0.0838332
7,135.698,4.35385,1.91011,0.68817,0.08758,0.05348,0.05489,0.01297,4.76541,2.82624,0.63587,0.00097624,0.00097624,0.0809762
8,152.087,4.30406,1.81531,0.6677,0.1097,0.06699,0.07455,0.01821,4.70966,2.72402,0.63821,0.00111812,0.00111812,0.0781181
9,169.083,4.54489,1.74767,0.6657,0.1097,0.06699,0.07455,0.01821,4.70966,2.72402,0.63821,0.00125882,0.00125882,0.0752588
10,187.326,4.49203,1.87063,0.67177,0.12152,0.0742,0.07781,0.01923,4.66373,2.62624,0.63384,0.00139832,0.00139832,0.0723983
11,206.869,4.66869,1.79618,0.65626,0.12152,0.0742,0.07781,0.01923,4.66373,2.62624,0.63384,0.00153664,0.00153664,0.0695366
12,225.513,4.52983,1.93019,0.6753,0.13121,0.08013,0.082,0.02054,4.6288,2.47649,0.63036,0.00167377,0.00167377,0.0666738
13,244.829,4.61737,1.91331,0.66356,0.13121,0.08013,0.082,0.02054,4.6288,2.47649,0.63036,0.00180971,0.00180971,0.0638097
14,268.293,4.27551,1.62887,0.66056,0.12273,0.07494,0.07156,0.01739,4.67856,2.25155,0.63309,0.00194447,0.00194447,0.0609445
15,288.355,4.34619,1.68593,0.66704,0.12273,0.07494,0.07156,0.01739,4.67856,2.25155,0.63309,0.00207803,0.00207803,0.058078
16,309.485,4.46319,1.64883,0.66343,0.12273,0.07494,0.07156,0.01739,4.67856,2.25155,0.63309,0.00221041,0.00221041,0.0552104
17,330.793,4.59344,1.62623,0.64563,0.12182,0.07439,0.07049,0.01678,4.69044,1.99264,0.63073,0.0023416,0.0023416,0.0523416
18,353.755,4.50682,1.62642,0.63819,0.12182,0.07439,0.07049,0.01678,4.69044,1.99264,0.63073,0.0024716,0.0024716,0.0494716
19,374.361,4.36702,1.64154,0.66219,0.12182,0.07439,0.07049,0.01678,4.69044,1.99264,0.63073,0.00260042,0.00260042,0.0466004
20,393.537,4.51065,1.83572,0.6401,0.14121,0.08623,0.08445,0.01988,4.57486,1.72065,0.6205,0.00272804,0.00272804,0.043728
21,411.782,4.31079,1.57416,0.63741,0.14121,0.08623,0.08445,0.01988,4.57486,1.72065,0.6205,0.00285448,0.00285448,0.0408545
22,432.752,4.21992,1.88151,0.65743,0.14121,0.08623,0.08445,0.01988,4.57486,1.72065,0.6205,0.00297973,0.00297973,0.0379797
23,448.904,4.04728,1.4703,0.66559,0.14121,0.08623,0.08445,0.01988,4.57486,1.72065,0.6205,0.00310379,0.00310379,0.0351038
24,467.149,3.97482,1.45338,0.65651,0.1312,0.0792,0.07773,0.01808,4.67544,1.64421,0.62857,0.00322667,0.00322667,0.0322267
25,486.419,4.2906,1.52474,0.67478,0.1312,0.0792,0.07773,0.01808,4.67544,1.64421,0.62857,0.00334835,0.00334835,0.0293484
26,502.286,4.17795,1.74449,0.67243,0.1312,0.0792,0.07773,0.01808,4.67544,1.64421,0.62857,0.00346885,0.00346885,0.0264689
27,520.36,4.33563,1.54905,0.66523,0.1312,0.0792,0.07773,0.01808,4.67544,1.64421,0.62857,0.00358816,0.00358816,0.0235882
28,538.576,4.47368,1.75467,0.65451,0.1312,0.0792,0.07773,0.01808,4.67544,1.64421,0.62857,0.00370628,0.00370628,0.0207063
29,558.713,4.82556,1.89047,0.64985,0.09455,0.05774,0.05334,0.01113,4.7856,1.95939,0.63707,0.00382322,0.00382322,0.0178232
30,578.439,4.70617,1.78634,0.64215,0.09455,0.05774,0.05334,0.01113,4.7856,1.95939,0.63707,0.00393896,0.00393896,0.014939
31,596.903,4.55971,1.69126,0.64444,0.09455,0.05774,0.05334,0.01113,4.7856,1.95939,0.63707,0.00405352,0.00405352,0.0120535
32,617.665,4.40829,1.65804,0.65251,0.09455,0.05774,0.05334,0.01113,4.7856,1.95939,0.63707,0.00416689,0.00416689,0.00916689
33,638.56,4.5749,1.52002,0.64347,0.09455,0.05774,0.05334,0.01113,4.7856,1.95939,0.63707,0.00427907,0.00427907,0.00627907
34,656.953,4.21511,1.53784,0.66235,0.10595,0.05922,0.05769,0.01325,4.62098,2.16119,0.63175,0.0043466,0.0043466,0.0043466
35,675.203,4.40636,1.76259,0.63832,0.10595,0.05922,0.05769,0.01325,4.62098,2.16119,0.63175,0.0043268,0.0043268,0.0043268
36,696.774,3.89905,1.5073,0.66688,0.10595,0.05922,0.05769,0.01325,4.62098,2.16119,0.63175,0.004307,0.004307,0.004307
37,714.932,4.05461,1.51508,0.65662,0.10595,0.05922,0.05769,0.01325,4.62098,2.16119,0.63175,0.0042872,0.0042872,0.0042872
38,731.062,4.68989,1.93363,0.60839,0.10595,0.05922,0.05769,0.01325,4.62098,2.16119,0.63175,0.0042674,0.0042674,0.0042674
39,748.519,4.5239,1.5709,0.61,0.10595,0.05922,0.05769,0.01325,4.62098,2.16119,0.63175,0.0042476,0.0042476,0.0042476
40,764.834,4.53073,1.90957,0.68551,0.09012,0.05033,0.04902,0.01216,4.61975,2.14199,0.62751,0.0042278,0.0042278,0.0042278
41,782.238,4.40887,1.59403,0.64099,0.09012,0.05033,0.04902,0.01216,4.61975,2.14199,0.62751,0.004208,0.004208,0.004208
42,804.164,4.47697,1.73624,0.63608,0.09012,0.05033,0.04902,0.01216,4.61975,2.14199,0.62751,0.0041882,0.0041882,0.0041882
43,822.571,4.35933,1.59789,0.64386,0.09012,0.05033,0.04902,0.01216,4.61975,2.14199,0.62751,0.0041684,0.0041684,0.0041684
44,843.27,4.54193,1.64967,0.61754,0.09012,0.05033,0.04902,0.01216,4.61975,2.14199,0.62751,0.0041486,0.0041486,0.0041486
45,864.375,4.25478,1.51551,0.64542,0.08821,0.05181,0.04996,0.01224,4.64794,2.36657,0.62837,0.0041288,0.0041288,0.0041288
46,882.81,4.24403,1.55107,0.64208,0.08821,0.05181,0.04996,0.01224,4.64794,2.36657,0.62837,0.004109,0.004109,0.004109
47,898.899,4.34698,2.07179,0.65044,0.08821,0.05181,0.04996,0.01224,4.64794,2.36657,0.62837,0.0040892,0.0040892,0.0040892
48,915.497,4.36475,1.68807,0.63642,0.08821,0.05181,0.04996,0.01224,4.64794,2.36657,0.62837,0.0040694,0.0040694,0.0040694
49,932.018,4.32679,1.55132,0.64759,0.08821,0.05181,0.04996,0.01224,4.64794,2.36657,0.62837,0.0040496,0.0040496,0.0040496
50,950.758,4.21012,1.49044,0.64554,0.12916,0.06847,0.07398,0.01804,4.53249,2.16995,0.62592,0.0040298,0.0040298,0.0040298
51,967.691,4.01229,1.53382,0.6606,0.12916,0.06847,0.07398,0.01804,4.53249,2.16995,0.62592,0.00401,0.00401,0.00401
52,988.234,4.15366,1.69525,0.65303,0.12916,0.06847,0.07398,0.01804,4.53249,2.16995,0.62592,0.0039902,0.0039902,0.0039902
53,1008.71,4.1035,1.5193,0.6476,0.12916,0.06847,0.07398,0.01804,4.53249,2.16995,0.62592,0.0039704,0.0039704,0.0039704
54,1031.71,4.09793,1.5152,0.63564,0.12916,0.06847,0.07398,0.01804,4.53249,2.16995,0.62592,0.0039506,0.0039506,0.0039506
55,1055.66,4.1009,1.45992,0.64486,0.12916,0.06847,0.07398,0.01804,4.53249,2.16995,0.62592,0.0039308,0.0039308,0.0039308
56,1071.69,4.11131,1.47687,0.63922,0.12939,0.07902,0.08381,0.02124,4.52594,2.03511,0.62833,0.003911,0.003911,0.003911
57,1091.95,4.15906,1.56811,0.65444,0.12939,0.07902,0.08381,0.02124,4.52594,2.03511,0.62833,0.0038912,0.0038912,0.0038912
58,1111.79,4.33693,1.55785,0.63325,0.12939,0.07902,0.08381,0.02124,4.52594,2.03511,0.62833,0.0038714,0.0038714,0.0038714
59,1128.07,4.86066,2.03763,0.6362,0.12939,0.07902,0.08381,0.02124,4.52594,2.03511,0.62833,0.0038516,0.0038516,0.0038516
60,1150.84,4.3203,1.76849,0.66326,0.12939,0.07902,0.08381,0.02124,4.52594,2.03511,0.62833,0.0038318,0.0038318,0.0038318
61,1167.06,4.11755,1.50877,0.64888,0.12061,0.07365,0.07459,0.01776,4.52811,2.2402,0.62425,0.003812,0.003812,0.003812
62,1192.95,4.29515,1.56102,0.62375,0.12061,0.07365,0.07459,0.01776,4.52811,2.2402,0.62425,0.0037922,0.0037922,0.0037922
63,1210.91,4.2205,1.51361,0.63445,0.12061,0.07365,0.07459,0.01776,4.52811,2.2402,0.62425,0.0037724,0.0037724,0.0037724
64,1228.2,4.26398,1.63939,0.63848,0.12061,0.07365,0.07459,0.01776,4.52811,2.2402,0.62425,0.0037526,0.0037526,0.0037526
65,1244.25,4.24991,1.49074,0.63235,0.12061,0.07365,0.07459,0.01776,4.52811,2.2402,0.62425,0.0037328,0.0037328,0.0037328
66,1260.16,4.14189,1.4773,0.63235,0.07818,0.04386,0.03847,0.01005,4.4179,8.46552,0.61813,0.003713,0.003713,0.003713
67,1281.5,4.07321,1.36926,0.64062,0.07818,0.04386,0.03847,0.01005,4.4179,8.46552,0.61813,0.0036932,0.0036932,0.0036932
68,1297.67,4.16331,1.53304,0.63078,0.07818,0.04386,0.03847,0.01005,4.4179,8.46552,0.61813,0.0036734,0.0036734,0.0036734
69,1319.11,4.03323,1.45908,0.62711,0.07818,0.04386,0.03847,0.01005,4.4179,8.46552,0.61813,0.0036536,0.0036536,0.0036536
70,1340.22,4.02544,1.44797,0.65688,0.07818,0.04386,0.03847,0.01005,4.4179,8.46552,0.61813,0.0036338,0.0036338,0.0036338
71,1359.46,3.92193,1.45591,0.6477,0.07818,0.04386,0.03847,0.01005,4.4179,8.46552,0.61813,0.003614,0.003614,0.003614
72,1377.42,4.00111,1.29435,0.63129,0.10106,0.05699,0.05129,0.01393,4.30831,6.93017,0.61067,0.0035942,0.0035942,0.0035942
73,1394.43,3.90165,1.4418,0.63765,0.10106,0.05699,0.05129,0.01393,4.30831,6.93017,0.61067,0.0035744,0.0035744,0.0035744
74,1413.94,3.91871,1.36256,0.63141,0.10106,0.05699,0.05129,0.01393,4.30831,6.93017,0.61067,0.0035546,0.0035546,0.0035546
75,1429.78,3.99023,1.48806,0.63689,0.10106,0.05699,0.05129,0.01393,4.30831,6.93017,0.61067,0.0035348,0.0035348,0.0035348
76,1445.69,4.00195,1.58973,0.61817,0.10106,0.05699,0.05129,0.01393,4.30831,6.93017,0.61067,0.003515,0.003515,0.003515
77,1467.37,4.06771,1.41766,0.62176,0.17769,0.10566,0.10157,0.02654,4.16604,5.20448,0.60168,0.0034952,0.0034952,0.0034952
78,1484.8,4.10415,1.3358,0.61563,0.17769,0.10566,0.10157,0.02654,4.16604,5.20448,0.60168,0.0034754,0.0034754,0.0034754
79,1503.02,4.19972,1.5658,0.61542,0.17769,0.10566,0.10157,0.02654,4.16604,5.20448,0.60168,0.0034556,0.0034556,0.0034556
80,1522.94,4.13518,1.44063,0.62983,0.17769,0.10566,0.10157,0.02654,4.16604,5.20448,0.60168,0.0034358,0.0034358,0.0034358
81,1540.46,3.82358,1.31709,0.63694,0.17769,0.10566,0.10157,0.02654,4.16604,5.20448,0.60168,0.003416,0.003416,0.003416
82,1556.36,3.89696,1.59898,0.66158,0.21376,0.10807,0.11246,0.0293,4.1985,2.53608,0.60336,0.0033962,0.0033962,0.0033962
83,1576.6,3.72942,1.27846,0.64,0.21376,0.10807,0.11246,0.0293,4.1985,2.53608,0.60336,0.0033764,0.0033764,0.0033764
84,1597.76,3.9186,1.53746,0.63006,0.21376,0.10807,0.11246,0.0293,4.1985,2.53608,0.60336,0.0033566,0.0033566,0.0033566
85,1615.14,4.27904,1.62544,0.62348,0.21376,0.10807,0.11246,0.0293,4.1985,2.53608,0.60336,0.0033368,0.0033368,0.0033368
86,1634.13,4.08871,1.42657,0.63673,0.21376,0.10807,0.11246,0.0293,4.1985,2.53608,0.60336,0.003317,0.003317,0.003317
87,1656.29,4.17099,1.48359,0.6254,0.21376,0.10807,0.11246,0.0293,4.1985,2.53608,0.60336,0.0032972,0.0032972,0.0032972
